,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,District Code,School Code,Charter Number,Charter Fund Type,Local Educational Agency,District Type,"County Office of Education LCFF State Aid 
(0000-8011)
A-1","School District LCFF State Aid
 (0000-8011)
A-2","Charter School LCFF State Aid
 (0000-8011)
A-3","School District Basic Aid ""Choice""
 (0000-8011)
A-4","School District Basic Aid Court-Ordered Voluntary Pupil Transfer 
(0000-8011)
A-5","School District Basic Aid Open Enrollment 
(0000-8011)
A-6","School District Basic Aid Supplement Charter School Adjustment 
(0000-8011)
A-7","Adults in Correctional Facilities 
(6015-8311)
A-8","Special Education 
AB 602
(6500-8311)
A-9","Special Education
Infants 0-2 
(6510-8311)
A-10","Special Education
Mental Health Services
(6546-8590)
A-11","Special Education
Early Intervention Preschool Grant
(6547-8590)
A-12","Expanded Learning Opportunities Program
(2600-8590)
A-13","Transfer of Funds for County Served District Funded ADA
(0000-7142 for districts and 0000-8710 for COEs)
A-14","Other State Aid (Ch.44/2021, Ch.48/2023, and 38/2024) (7810-8590)
A-15","Home-to-School Transportation Reimbursement
(0000-8590)
A-16","Proposition 28: Arts and Music In Schools (6770-8590)
A-17","LCFF Equity Multiplier (7399-8590)
A-18","Student Support and Enrichment Block Grant (6018-8590) 
A-19","New or Expanding Charter Advance Payments 
(0000-8011)
A-20","School District Advance Payments of In-lieu of Property Tax Transfers for New or Expanding Charter Schools 
(0000-8011)
A-21","Amount Charter Overpaid
A-22","PY Amount Charter Overpaid
A-23","Adjustments and PY Recomputations
A-24","Total Principal Apportionment
(Sum of A-1 through A-24)
B-1","EPA Entitlement
(1400-8012)
C-1","Total of LCFF State Aid and EPA Entitlement
(A-1 + A-2 + A-3 + C-1)
D-1",Payment Type,Notes
15,63529,1530435,0071,L,Kern Workforce 2000 Academy,HIGH, - , - ," 4,726,023 ", - , - , - , - , - , - , - ," 37,865 ", - , - , - , - , - ," 100,599 "," 809,463 ", - , - , - , - , - ," (3,960)"," 5,669,990 "," 1,080,131 "," 5,806,154 ", 1 , - 
15,63545,0000000,N/A,N/A,Kernville Union Elementary,ELEMENTARY, - ," 6,886,235 ", - , - , - , - , - , - , - , - ," 57,592 "," 91,618 "," 1,220,493 ", - , - ," 3,298 "," 143,149 ", - , - , - , - , - , - ," 10,944 "," 8,413,329 "," 1,425,061 "," 8,311,296 ", 1 , - 
15,63552,0000000,N/A,N/A,Lakeside Union,ELEMENTARY, - ," 14,802,969 ", - , - , - , - , - , - , - , - ," 129,758 "," 129,343 "," 1,216,033 ", - , - ," 88,427 "," 252,532 ", - , - , - , - , - , - ," 24,509 "," 16,643,571 "," 3,507,829 "," 18,310,798 ", 1 , - 
15,63560,0000000,N/A,N/A,Lamont Elementary,ELEMENTARY, - ," 32,134,960 ", - , - , - , - , - , - , - , - ," 201,347 "," 161,678 "," 4,778,153 ", - , - ," 286,505 "," 445,786 ", - , - , - , - , - , - ," (42,604)"," 37,965,825 "," 4,940,008 "," 37,074,968 ", 1 , - 
15,63578,0000000,N/A,N/A,Richland Union Elementary,ELEMENTARY, - ," 27,411,930 ", - , - , - , - , - , - , - , - ," 188,219 "," 199,403 "," 4,425,061 ", - , - ," 123,052 "," 436,688 ", - , - , - , - , - , - ," 39,567 "," 32,823,920 "," 4,866,492 "," 32,278,422 ", 1 , - 
15,63578,0135186,1847,D,Grow Academy Shafter,ELEMENTARY, - , - ," 919,471 ", - , - , - , - , - , - , - ," 6,405 ", - ," 1,322,793 ", - , - , - ," 134,289 ", - , - , - , - ," 3,735,486 ", - ," (15,503)"," 6,102,941 "," 15,504 "," 934,975 ", 1 , - 
15,63586,0000000,N/A,N/A,Linns Valley-Poso Flat Union,ELEMENTARY, - ," 65,262 ", - , - , - , - , - , - , - , - ," 1,674 ", - ," 50,000 ", - , - ," 21,201 "," 2,995 ", - , - , - , - , - , - , - ," 141,132 "," 4,052 "," 69,314 ", 2 , - 
15,63594,0000000,N/A,N/A,Lost Hills Union Elementary,ELEMENTARY, - ," 2,829,717 ", - , - , - , - , - , - , - , - ," 22,708 "," 10,779 "," 511,843 ", - , - , - ," 49,086 ", - , - , - , - , - , - ," 9,588 "," 3,433,721 "," 568,546 "," 3,398,263 ", 2 , - 
15,63610,0000000,N/A,N/A,Maple Elementary,ELEMENTARY, - ," 2,233,225 ", - , - , - , - , - , - , - , - ," 22,677 "," 10,779 "," 199,441 ", - , - ," 47,945 "," 43,327 ", - , - , - , - , - , - ," (2,727)"," 2,554,667 "," 535,762 "," 2,768,987 ", 2 , - 
15,63628,0000000,N/A,N/A,Maricopa Unified,UNIFIED, - ," 4,628,055 ", - , - , - , - , - , - , - , - ," 21,548 "," 10,779 "," 436,712 "," (31,308)", - ," 140,807 "," 54,992 "," 91,088 ", - , - , - , - , - ," (23,467)"," 5,329,206 "," 781,922 "," 5,409,977 ", 2 , - 
15,63628,0127209,1491,D,Insight School of California,UNIFIED, - , - ," 5,822,915 ", - , - , - , - , - , - , - ," 34,885 ", - , - , - , - , - ," 60,443 ", - , - , - , - , - , - ," (5,359)"," 5,912,884 "," 995,140 "," 6,818,055 ", 1 , - 
15,63628,0128504,1575,D,Peak to Peak Mountain Charter,UNIFIED, - , - ," 558,367 ", - , - , - , - , - , - , - ," 4,082 ", - ," 50,000 ", - , - , - ," 8,043 ", - , - , - , - , - , - , (640)," 619,852 "," 9,880 "," 568,247 ", 1 , - 
15,63628,0134312,1816,D,Blue Ridge Academy,UNIFIED, - , - ," 88,689,068 ", - , - , - , - , - , - , - ," 631,074 ", - , - , - , - , - ," 957,157 ", - , - , - , - , - , - ," (90,327)"," 90,186,972 "," 1,527,590 "," 90,216,658 ", 1 , - 
15,63628,0137687,1490,D,California Virtual Academy @ Maricopa,UNIFIED, - , - ," 15,707,762 ", - , - , - , - , - , - , - ," 102,750 ", - , - , - , - , - ," 206,041 ", - , - , - , - , - , - ," (2,641)"," 16,013,912 "," 2,465,910 "," 18,173,672 ", 1 , - 
15,63628,0138131,1998,D,Heartland Charter,UNIFIED, - , - ," 69,878,510 ", - , - , - , - , - , - , - ," 492,223 ", - , - , - , - , - ," 791,627 ", - , - , - , - , - , - ," (72,904)"," 71,089,456 "," 1,191,486 "," 71,069,996 ", 1 , - 
15,63651,0000000,N/A,N/A,McKittrick Elementary,ELEMENTARY, - ," 184,477 ", - ," 87,283 ", - , - , - , - , - , - ," 4,844 ", - ," 50,000 ", - , - ," 18,162 "," 9,235 ", - , - , - , - , - , - , - ," 354,001 "," 19,472 "," 203,949 ", 2 , - 
15,63669,0000000,N/A,N/A,Midway Elementary,ELEMENTARY, - ," 95,884 ", - ," 89,848 ", - , - , - , - , - , - ," 5,146 ", - ," 50,000 ", - , - , - ," 10,276 ", - , - , - , - , - , - , - ," 251,154 "," 14,696 "," 110,580 ", 3 , - 
15,63677,0000000,N/A,N/A,Mojave Unified,UNIFIED, - ," 20,140,384 ", - , - , - , - , - , - , - , - ," 209,998 "," 134,732 "," 3,446,490 "," (132,868)", - ," 1,030,201 "," 491,607 "," 1,989,851 ", - , - , - , - , - ," (900,557)"," 26,409,838 "," 520,430 "," 20,660,814 ", 2 , - 
15,63685,0000000,N/A,N/A,Muroc Joint Unified,UNIFIED, - ," 10,952,484 ", - , - , - , - , - , - , - , - ," 137,810 "," 97,007 "," 461,145 "," (14,401)", - ," 152,035 "," 233,693 ", - , - , - , - , - , - ," 3,671,781 "," 15,691,554 "," 3,509,484 "," 14,461,968 ", 1 , - 
15,63693,0000000,N/A,N/A,Norris Elementary,ELEMENTARY, - ," 33,153,108 ", - , - , - , - , - , - , - , - ," 332,680 "," 312,578 "," 1,583,130 ", - , - ," 623,947 "," 529,488 ", - , - , - , - , - , - ," (65,747)"," 36,469,184 "," 7,770,329 "," 40,923,437 ", 1 , - 
15,63719,0000000,N/A,N/A,Pond Union Elementary,ELEMENTARY, - ," 1,615,704 ", - , - , - , - , - , - , - , - ," 14,084 "," 16,168 "," 325,884 ", - , - , - ," 29,172 ", - , - , - , - , - , - , - ," 2,001,012 "," 34,208 "," 1,649,912 ", 2 , - 
15,63750,0000000,N/A,N/A,Rosedale Union Elementary,ELEMENTARY, - ," 47,678,973 ", - , - , - , - , - , - , - , - ," 492,270 "," 538,927 "," 2,674,728 ", - , - ," 1,588,003 "," 870,297 ", - , - , - , - , - , - ," (120,428)"," 53,722,770 "," 11,501,594 "," 59,180,567 ", 1 , - 
15,63768,0000000,N/A,N/A,Semitropic Elementary,ELEMENTARY, - ," 1,302,609 ", - , - , - , - , - , - , - , - ," 10,996 "," 5,389 "," 249,490 ", - , - , - ," 21,335 ", - , - , - , - , - , - ," (9,233)"," 1,580,586 "," 28,590 "," 1,331,199 ", 2 , - 
15,63776,0000000,N/A,N/A,Southern Kern Unified,UNIFIED, - ," 33,690,351 ", - , - , - , - , - , - , - , - ," 278,286 "," 210,182 "," 4,514,198 "," (3,569)", - ," 859,306 "," 621,386 "," 229,129 ", - , - , - , - , - ," (77,375)"," 40,321,894 "," 6,893,361 "," 40,583,712 ", 2 , - 
15,63784,0000000,N/A,N/A,South Fork Union,ELEMENTARY, - ," 3,507,932 ", - , - , - , - , - , - , - , - ," 27,390 "," 26,946 "," 286,825 ", - , - ," 14,500 "," 55,935 ", - , - , - , - , - , - ," 5,932 "," 3,925,460 "," 654,081 "," 4,162,013 ", 1 , - 
15,63792,0000000,N/A,N/A,Standard Elementary,ELEMENTARY, - ," 30,935,275 ", - , - , - , - , - , - , - , - ," 241,254 "," 258,685 "," 5,316,514 ", - , - ," 401,813 "," 537,781 ", - , - , - , - , - , - ," (52,333)"," 37,638,989 "," 6,916,893 "," 37,852,168 ", 2 , - 
15,63800,0000000,N/A,N/A,Taft City,ELEMENTARY, - ," 24,869,615 ", - , - , - , - , - , - , - , - ," 191,276 "," 102,396 "," 4,399,099 "," (7,625)", - ," 390,508 "," 416,212 ", - , - , - , - , - , - ," 108,536 "," 30,470,017 "," 4,745,316 "," 29,614,931 ", 2 , - 
15,63818,0000000,N/A,N/A,Taft Union High,HIGH, - ," 9,597,198 ", - , - , - , - , - , - , - , - ," 89,530 ", - , - ," (331,088)", - ," 280,332 "," 190,603 "," 138,980 ", - , - , - , - , - ," (196,472)"," 9,769,083 "," 8,150,759 "," 17,747,957 ", 2 , - 
15,63826,0000000,N/A,N/A,Tehachapi Unified,UNIFIED, - ," 26,094,834 ", - , - , - , - , - , - , - , - ," 316,606 "," 123,953 "," 1,378,328 ", - , - ," 837,882 "," 590,395 ", - , - , - , - , - , - ," (629,309)"," 28,712,689 "," 7,828,601 "," 33,923,435 ", 1 , - 
15,63834,0000000,N/A,N/A,Vineland Elementary,ELEMENTARY, - ," 8,031,452 ", - , - , - , - , - , - , - , - ," 50,215 "," 43,114 "," 1,306,855 ", - , - ," 235,535 "," 118,971 ", - , - , - , - , - , - ," 9,298 "," 9,795,440 "," 1,220,566 "," 9,252,018 ", 1 , - 
15,63842,0000000,N/A,N/A,Wasco Union Elementary,ELEMENTARY, - ," 40,919,052 ", - , - , - , - , - , - , - , - ," 273,909 "," 172,457 "," 6,499,005 ", - , - ," 356,354 "," 619,408 ", - , - , - , - , - , - ," 9,508 "," 48,849,693 "," 6,450,269 "," 47,369,321 ", 1 , - 
15,63859,0000000,N/A,N/A,Wasco Union High,HIGH, - ," 16,077,066 ", - , - , - , - , - , - , - , - ," 139,819 ", - , - ," (3,648)", - ," 96,308 "," 309,980 "," 175,603 ", - , - , - , - , - ," 37,709 "," 16,832,837 "," 5,031,801 "," 21,108,867 ", 2 , - 
15,73544,0000000,N/A,N/A,Rio Bravo-Greeley Union Elementary,ELEMENTARY, - ," 5,109,251 ", - , - , - , - , - , - , - , - ," 82,812 "," 80,839 "," 606,987 "," (1,569)", - ," 262,940 "," 151,360 ", - , - , - , - , - , - ," 1,463 "," 6,294,083 "," 1,423,026 "," 6,532,277 ", 2 , - 
15,73742,0000000,N/A,N/A,Sierra Sands Unified,UNIFIED, - ," 43,213,642 ", - , - , - , - , - , - ," 4,568,394 "," 183,491 "," 380,284 "," 226,349 "," 2,182,130 ", - , - ," 492,377 "," 771,182 "," 160,578 ", - , - , - , - , - ," (1,085,796)"," 51,092,631 "," 9,769,352 "," 52,982,994 ", 1 , - 
15,73908,0000000,N/A,N/A,McFarland Unified,UNIFIED, - ," 37,782,121 ", - , - , - , - , - , - , - , - ," 259,411 "," 145,510 "," 4,133,815 ", - , - ," 347,856 "," 573,962 "," 127,537 ", - , - , - , - , - ," (60,845)"," 43,309,367 "," 7,495,789 "," 45,277,910 ", 1 , - 
15,75168,0000000,N/A,N/A,El Tejon Unified,UNIFIED, - ," 4,940,275 ", - , - , - , - , - , - , - , - ," 54,402 "," 43,114 "," 716,600 ", - , - ," 242,070 "," 120,170 ", - , - , - , - , - , - ," (15,754)"," 6,100,877 "," 133,862 "," 5,074,137 ", 1 , - 
16,10165,0000000,N/A,N/A,Kings Co. Office of Education,CO OFFICE," 8,762,901 ", - , - , - , - , - , - , - ," 24,028,014 "," 421,959 "," 29,093 ", - , - , - , - , - ," 108,213 "," 92,966 "," 85,980 ", - , - , - , - ," (162,607)"," 33,366,519 "," 5,732 "," 8,768,633 ", 1 , - 
16,63875,0000000,N/A,N/A,Armona Union Elementary,ELEMENTARY, - ," 12,279,543 ", - , - , - , - , - , - , - , - ," 79,602 "," 75,450 "," 1,742,641 ", - , - ," 81,668 "," 165,056 ", - , - , - , - , - , - ," (84,270)"," 14,339,690 "," 1,877,601 "," 14,157,144 ", 1 , - 
16,63875,0101717,0571,L,Crossroads Charter Academy,ELEMENTARY, - , - ," 1,779,051 ", - , - , - , - , - , - , - ," 11,458 ", - , - , - , - , - ," 20,990 ", - , - , - , - , - , - ," (4,018)"," 1,807,481 "," 317,001 "," 2,096,052 ", 1 , - 
16,63875,0112698,0840,D,California Virtual Academy @ Kings,ELEMENTARY, - , - ," 8,280,719 ", - , - , - , - , - , - , - ," 59,600 ", - , - , - , - , - ," 92,733 ", - , - , - , - , - , - ," (7,834)"," 8,425,218 "," 1,574,262 "," 9,854,981 ", 1 , - 
16,63883,0000000,N/A,N/A,Central Union Elementary,ELEMENTARY, - ," 15,483,397 ", - , - , - , - , - , - , - , - ," 121,115 "," 113,175 "," 967,931 ", - , - ," 155,415 "," 226,992 ", - , - , - , - , - , - ," (110,523)"," 16,957,502 "," 3,105,421 "," 18,588,818 ", 1 , - 
16,63891,0000000,N/A,N/A,Corcoran Joint Unified,UNIFIED, - ," 39,049,713 ", - , - , - , - , - , - , - , - ," 242,626 "," 134,732 "," 3,931,835 ", - , - ," 294,614 "," 575,668 "," 151,605 ", - , - , - , - , - ," (935,307)"," 43,445,486 "," 6,119,038 "," 45,168,751 ", 1 , - 
16,63917,0000000,N/A,N/A,Hanford Elementary,ELEMENTARY, - ," 62,779,824 ", - , - , - , - , - , - , - , - ," 433,888 "," 436,531 "," 9,139,172 ", - , - ," 783,251 "," 925,777 "," 90,149 ", - , - , - , - , - ," (408,092)"," 74,180,500 "," 10,342,472 "," 73,122,296 ", 1 , - 
16,63925,0000000,N/A,N/A,Hanford Joint Union High,HIGH, - ," 48,116,117 ", - , - , - , - , - ," 101,877 ", - , - ," 320,683 ", - , - , - , - ," 820,834 "," 661,785 "," 194,384 ", - , - , - , - , - ," (357,770)"," 49,857,910 "," 9,161,608 "," 57,277,725 ", 1 , - 
16,63925,0137901,1997,L,Hanford Online Charter,HIGH, - , - ," 1,804,410 ", - , - , - , - , - , - , - ," 10,371 ", - , - , - , - , - ," 25,507 ", - , - , - , - , - , - ," (5,010)"," 1,835,278 "," 25,104 "," 1,829,514 ", 1 , - 
16,63933,0000000,N/A,N/A,Island Union Elementary,ELEMENTARY, - ," 3,568,351 ", - , - , - , - , - , - , - , - ," 31,124 ", - ," 188,703 ", - , - , - ," 51,484 ", - , - , - , - , - , - ," (9,337)"," 3,830,325 "," 740,631 "," 4,308,982 ", 1 , - 
16,63941,0000000,N/A,N/A,Kings River-Hardwick Union Elementary,ELEMENTARY, - ," 7,718,375 ", - , - , - , - , - , - , - , - ," 67,158 "," 5,389 "," 284,882 ", - , - , - ," 111,920 ", - , - , - , - , - , - ," (19,330)"," 8,168,394 "," 1,652,215 "," 9,370,590 ", 1 , - 
16,63958,0000000,N/A,N/A,Kit Carson Union Elementary,ELEMENTARY, - ," 4,177,141 ", - , - , - , - , - , - , - , - ," 27,024 "," 10,779 "," 570,587 ", - , - ," 31,299 "," 62,164 ", - , - , - , - , - , - ," (15,173)"," 4,863,821 "," 732,171 "," 4,909,312 ", 1 , - 
16,63958,0136556,1896,D,Kings Valley Academy II,ELEMENTARY, - , - ," 16,536,333 ", - , - , - , - , - , - , - ," 85,846 ", - , - , - , - , - ," 185,182 ", - , - , - , - , - , - ," (44,404)"," 16,762,957 "," 207,800 "," 16,744,133 ", 1 , - 
16,63958,6113120,0088,L,Mid Valley Alternative Charter,ELEMENTARY, - , - ," 608,401 ", - , - , - , - , - , - , - ," 4,846 ", - , - , - , - , - ," 11,066 ", - , - , - , - , - , - ," (2,870)"," 621,443 "," 116,316 "," 724,717 ", 1 , - 
16,63966,0000000,N/A,N/A,Lakeside Union Elementary,ELEMENTARY, - ," 2,838,791 ", - , - , - , - , - , - , - , - ," 18,618 "," 26,946 "," 451,735 ", - , - ," 78,377 "," 44,277 ", - , - , - , - , - , - ," (114,865)"," 3,343,879 "," 459,217 "," 3,298,008 ", 1 , - 
16,63974,0000000,N/A,N/A,Lemoore Union Elementary,ELEMENTARY, - ," 33,927,606 ", - , - , - , - , - , - , - , - ," 238,185 "," 188,624 "," 4,850,059 ", - , - ," 454,551 "," 507,246 "," 50,535 ", - , - , - , - , - ," (1,302,290)"," 38,914,516 "," 5,670,106 "," 39,597,712 ", 1 , - 
16,63974,0100156,0489,L,Lemoore University Elementary Charter,ELEMENTARY, - , - ," 1,416,442 ", - , - , - , - , - , - , - ," 12,109 ", - ," 50,000 ", - , - , - ," 22,025 ", - , - , - , - , - , - ," (6,315)"," 1,494,261 "," 294,012 "," 1,710,454 ", 1 , - 
16,63982,0000000,N/A,N/A,Lemoore Union High,HIGH, - ," 19,969,644 ", - , - , - , - , - , - , - , - ," 148,494 ", - , - , - , - ," 957,207 "," 288,570 "," 112,686 ", - , - , - , - , - ," (1,052,995)"," 20,423,606 "," 4,309,800 "," 24,279,444 ", 1 , - 
16,63982,0110205,1068,D,Lemoore Middle College High,HIGH, - , - ," 2,432,160 ", - , - , - , - , - , - , - ," 20,164 ", - , - , - , - , - ," 33,525 ", - , - , - , - , - , - ," (10,687)"," 2,475,162 "," 575,207 "," 3,007,367 ", 1 , - 
16,63982,0136234,1877,D,Lemoore Online College Preparatory High,HIGH, - , - ," 1,638,399 ", - , - , - , - , - , - , - ," 10,589 ", - , - , - , - , - ," 20,342 ", - , - , - , - , - , - ," (5,564)"," 1,663,766 "," 25,632 "," 1,664,031 ", 1 , - 
16,63990,0000000,N/A,N/A,Pioneer Union Elementary,ELEMENTARY, - ," 14,368,364 ", - , - , - , - , - , - , - , - ," 133,269 "," 21,557 "," 867,092 ", - , - , - ," 228,651 ", - , - , - , - , - , - ," 15,380 "," 15,634,313 "," 3,238,157 "," 17,606,521 ", 1 , - 
16,73932,0000000,N/A,N/A,Reef-Sunset Unified,UNIFIED, - ," 34,712,932 ", - , - , - , - , - , - , - , - ," 207,362 "," 80,839 "," 3,693,234 ", - , - ," 188,683 "," 485,851 "," 101,070 ", - , - , - , - , - ," (303,353)"," 39,166,618 "," 5,258,923 "," 39,971,855 ", 1 , - 
17,10173,0000000,N/A,N/A,Lake Co. Office of Education,CO OFFICE," 3,420,504 ", - , - , - , - , - , - , - ," 8,021,481 ", - ," 2,446 ", - , - ," 229,475 ", - , - ," 49,521 "," 101,070 "," 42,120 ", - , - , - , - ," 279,798 "," 12,146,415 "," 2,808 "," 3,423,312 ", 1 , - 
17,64014,0000000,N/A,N/A,Kelseyville Unified,UNIFIED, - ," 13,722,547 ", - , - , - , - , - , - , - , - ," 139,258 "," 107,785 "," 1,013,926 "," (48,628)", - ," 449,172 "," 300,741 "," 101,070 ", - , - ," (15,278)", - , - ," (29,726)"," 15,740,867 "," 3,511,420 "," 17,233,967 ", 1 , - 
17,64014,0141382,2125,D,Shade Canyon,UNIFIED, - , - ," 480,442 ", - , - , - , - , - , - , - ," 4,743 ", - ," 50,000 ", - , - , - ," 5,398 ", - , - ," (35,845)", - , - , - , (567)," 504,171 "," 11,482 "," 491,924 ", 1 , - 
17,64022,0000000,N/A,N/A,Konocti Unified,UNIFIED, - ," 38,117,858 ", - , - , - , - , - , - , - , - ," 290,203 "," 226,349 "," 4,500,589 "," (114,644)", - ," 1,053,198 "," 656,299 "," 1,239,201 ", - , - , - , - , - ," (132,183)"," 45,836,870 "," 7,335,310 "," 45,453,168 ", 1 , - 
17,64030,0000000,N/A,N/A,Lakeport Unified,UNIFIED, - ," 9,029,059 ", - , - , - , - , - , - , - , - ," 102,062 "," 43,114 "," 660,148 "," (19,536)", - ," 292,211 "," 209,463 "," 210,174 ", - , - , - , - , - ," (105,776)"," 10,420,919 "," 2,488,965 "," 11,518,024 ", 1 , - 
17,64048,0000000,N/A,N/A,Lucerne Elementary,ELEMENTARY, - ," 2,462,730 ", - , - , - , - , - , - , - , - ," 21,375 "," 32,336 "," 493,916 "," (5,296)", - ," 46,253 "," 47,955 ", - , - , - , - , - , - ," (20,106)"," 3,079,163 "," 541,641 "," 3,004,371 ", 1 , - 
17,64055,0000000,N/A,N/A,Middletown Unified,UNIFIED, - ," 7,544,653 ", - , - , - , - , - , - , - , - ," 111,173 "," 97,007 "," 671,185 "," (11,778)", - ," 286,243 "," 217,136 ", - , - , - , - , - , - ," (48,266)"," 8,867,353 "," 2,784,667 "," 10,329,320 ", 2 , - 
17,64055,0108340,0681,D,Lake County International Charter,UNIFIED, - , - ," 454,266 ", - , - , - , - , - , - , - ," 7,016 ", - ," 68,241 ", - , - , - ," 13,492 ", - , - , - , - , - , - , (779)," 542,236 "," 167,113 "," 621,379 ", 1 , - 
17,64055,0129601,1653,D,California Connections Academy @ North Bay,UNIFIED, - , - ," 1,069,887 ", - , - , - , - , - , - , - ," 11,340 ", - , - , - , - , - ," 25,300 ", - , - , - , - , - , - , (999)," 1,105,528 "," 27,450 "," 1,097,337 ", 1 , - 
17,76976,0000000,N/A,N/A,Upper Lake Unified,UNIFIED, - ," 8,698,389 ", - , - , - , - , - , - , - , - ," 70,344 "," 37,725 "," 1,038,947 "," (29,593)", - ," 457,168 "," 161,810 "," 50,535 ", - , - , - , - , - ," (14,782)"," 10,470,543 "," 1,870,346 "," 10,568,735 ", 1 , - 
18,10181,0000000,N/A,N/A,Lassen Co. Office of Education,CO OFFICE," 4,705,839 ", - , - , - , - , - , - , - ," 2,869,382 "," 243,341 ", 402 , - , - ," 66,833 ", - ," 80,313 "," 6,579 ", - , - , - , - , - , - ," (99,700)"," 7,872,989 "," 485,027 "," 5,190,866 ", 1 , - 
18,64089,0000000,N/A,N/A,Big Valley Joint Unified,UNIFIED, - ," 975,969 ", - , - , - , - , - , - , - , - ," 8,872 "," 10,779 "," 55,742 ", - , - , - ," 17,328 ", - , - , - , - , - , - ," 87,639 "," 1,156,329 "," 46,972 "," 1,022,941 ", 2 , - 
18,64105,0000000,N/A,N/A,Janesville Union Elementary,ELEMENTARY, - ," 2,742,645 ", - , - , - , - , - , - , - , - ," 24,595 "," 32,336 "," 169,596 ", - , - ," 36,236 "," 45,413 ", - , - , - , - , - , - ," (7,162)"," 3,043,659 "," 590,345 "," 3,332,990 ", 1 , - 
18,64113,0000000,N/A,N/A,Johnstonville Elementary,ELEMENTARY, - ," 1,823,441 ", - , - , - , - , - , - , - , - ," 16,745 ", - ," 134,003 ", - , - , - ," 29,104 ", - , - , - , - , - , - ," (3,349)"," 1,999,944 "," 387,609 "," 2,211,050 ", 1 , - 
18,64139,0000000,N/A,N/A,Lassen Union High,HIGH, - ," 5,413,552 ", - , - , - , - , - , - , - , - ," 63,596 ", - , - ," (56,304)", - ," 230,476 "," 114,410 "," 101,070 ", - , - , - , - , - ," (371,241)"," 5,495,559 "," 1,834,103 "," 7,247,655 ", 1 , - 
18,64162,0000000,N/A,N/A,Ravendale-Termo Elementary,ELEMENTARY, - ," 232,975 ", - , - , - , - , - , - , - , - , 188 , - ," 50,000 ", - , - , - ," 1,086 "," 50,535 ", - , - , - , - , - , (437)," 334,347 "," 46,544 "," 279,519 ", 2 , - 
18,64170,0000000,N/A,N/A,Richmond Elementary,ELEMENTARY, - ," 1,589,640 ", - , - , - , - , - , - , - , - ," 15,173 "," 16,168 "," 50,000 ", - , - , - ," 22,913 ", - , - , - , - , - , - ," (3,806)"," 1,690,088 "," 346,597 "," 1,936,237 ", 1 , - 
18,64188,0000000,N/A,N/A,Shaffer Union Elementary,ELEMENTARY, - ," 2,051,065 ", - , - , - , - , - , - , - , - ," 18,668 "," 21,557 "," 176,503 ", - , - ," 2,977 "," 35,990 ", - , - , - , - , - , - ," (4,751)"," 2,302,009 "," 442,670 "," 2,493,735 ", 1 , - 
18,64196,0000000,N/A,N/A,Susanville Elementary,ELEMENTARY, - ," 8,680,153 ", - , - , - , - , - , - , - , - ," 75,613 "," 43,114 "," 763,343 ", - , - ," 31,672 "," 155,303 ", - , - , - , - , - , - ," (24,245)"," 9,724,953 "," 1,828,275 "," 10,508,428 ", 2 , - 
18,64196,0135756,2066,D,Thompson Peak Charter,ELEMENTARY, - , - ," 1,698,823 ", - , - , - , - , - , - , - ," 13,059 ", - , - , - , - , - ," 22,634 ", - , - , - , - , - , - ," (3,221)"," 1,731,295 "," 31,610 "," 1,730,433 ", 1 , - 
18,64204,0000000,N/A,N/A,Westwood Unified,UNIFIED, - ," 1,832,448 ", - , - , - , - , - , - , - , - ," 13,518 ", - ," 109,121 ", - , - ," 9,623 "," 31,931 ", - , - , - , - , - , - ," (5,143)"," 1,991,498 "," 492,557 "," 2,325,005 ", 2 , - 
18,75036,0000000,N/A,N/A,Fort Sage Unified,UNIFIED, - ," 1,981,163 ", - , - , - , - , - , - , - , - ," 8,366 "," 5,389 "," 50,000 "," (10,529)", - , - ," 13,920 ", - , - , - , - , - , - ," 239,627 "," 2,287,936 "," 400,044 "," 2,381,207 ", 1 , - 
18,75036,0121657,1185,L,Mt. Lassen Charter,UNIFIED, - , - ," 1,513,116 ", - , - , - , - , - , - , - ," 11,637 ", - , - , - , - , - ," 21,604 ", - , - , - , - , - , - ," (3,449)"," 1,542,908 "," 300,841 "," 1,813,957 ", 1 , - 
18,75036,6010763,2067,D,Long Valley,UNIFIED, - , - ," 2,849,778 ", - , - , - , - , - , - , - ," 19,635 ", - ," 111,461 ", - , - , - ," 42,599 ", - , - , - , - , - , - ," (5,404)"," 3,018,069 "," 47,528 "," 2,897,306 ", 1 , - 
19,10199,0000000,N/A,N/A,Los Angeles Co. Office of Education,CO OFFICE," 91,895,655 ", - , - , - , - , - , - , - ," 26,410,690 ", - ," 894,851 ", - , - ," 20,292,918 "," 3,000,000 ", - ," 420,576 "," 2,466,717 "," 2,002,260 ", - , - , - , - ," (55,011)"," 147,328,656 "," 133,484 "," 92,029,139 ", 1 , - 
19,10199,0106880,0663,D,Jardin de la Infancia,UNIFIED, - , - ," 201,486 ", - , - , - , - , - , - , - ," 1,673 ", - ," 50,000 ", - , - , - ," 3,257 ", - , - , - , - , - , - ," (1,159)"," 255,257 "," 39,425 "," 240,911 ", 1 , - 
