,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,District Code,School Code,Charter Number,Charter Fund Type,Local Educational Agency,District Type,"County Office of Education LCFF State Aid 
(0000-8011)
A-1","School District LCFF State Aid
 (0000-8011)
A-2","Charter School LCFF State Aid
 (0000-8011)
A-3","School District Basic Aid ""Choice""
 (0000-8011)
A-4","School District Basic Aid Court-Ordered Voluntary Pupil Transfer 
(0000-8011)
A-5","School District Basic Aid Open Enrollment 
(0000-8011)
A-6","School District Basic Aid Supplement Charter School Adjustment 
(0000-8011)
A-7","Adults in Correctional Facilities 
(6015-8311)
A-8","Special Education 
AB 602
(6500-8311)
A-9","Special Education
Infants 0-2 
(6510-8311)
A-10","Special Education
Mental Health Services
(6546-8590)
A-11","Special Education
Early Intervention Preschool Grant
(6547-8590)
A-12","Expanded Learning Opportunities Program
(2600-8590)
A-13","Transfer of Funds for County Served District Funded ADA
(0000-7142 for districts and 0000-8710 for COEs)
A-14","Other State Aid (Ch.44/2021, Ch.48/2023, and 38/2024) (7810-8590)
A-15","Home-to-School Transportation Reimbursement
(0000-8590)
A-16","Proposition 28: Arts and Music In Schools (6770-8590)
A-17","LCFF Equity Multiplier (7399-8590)
A-18","Student Support and Enrichment Block Grant (6018-8590) 
A-19","New or Expanding Charter Advance Payments 
(0000-8011)
A-20","School District Advance Payments of In-lieu of Property Tax Transfers for New or Expanding Charter Schools 
(0000-8011)
A-21","Amount Charter Overpaid
A-22","PY Amount Charter Overpaid
A-23","Adjustments and PY Recomputations
A-24","Total Principal Apportionment
(Sum of A-1 through A-24)
B-1","EPA Entitlement
(1400-8012)
C-1","Total of LCFF State Aid and EPA Entitlement
(A-1 + A-2 + A-3 + C-1)
D-1",Payment Type,Notes
01,61119,0119222,1066,D,Nea Community Learning Center,UNIFIED, - , - ," 2,381,273 ", - , - , - , - , - , - , - ," 37,217 ", - ," 232,146 ", - , - , - ," 64,039 ", - , - , - , - , - , - ," 23,717 "," 2,738,392 "," 923,715 "," 3,304,988 ", 1 , - 
01,61119,0122085,1181,D,The Academy of Alameda,UNIFIED, - , - ," 3,117,869 ", - , - , - , - , - , - , - ," 49,281 ", - ," 357,951 ", - , - , - ," 92,605 ", - , - , - , - , - , - ," 23,488 "," 3,641,194 "," 1,202,365 "," 4,320,234 ", 1 , - 
01,61119,0130609,0352,D,Alameda Community Learning Center,UNIFIED, - , - ," 1,999,405 ", - , - , - , - , - , - , - ," 27,859 ", - ," 50,000 ", - , - , - ," 52,216 ", - , - , - , - , - , - ," 11,478 "," 2,140,958 "," 730,539 "," 2,729,944 ", 1 , - 
01,61127,0000000,N/A,N/A,Albany City Unified,UNIFIED, - ," 20,003,593 ", - , - , - , - , - , - ," 20,423,377 ", - ," 293,261 "," 145,510 "," 1,012,034 ", - , - ," 148,849 "," 473,773 ", - , - , - , - , - , - ," 550,599 "," 43,050,996 "," 7,154,926 "," 27,158,519 ", 1 , - 
01,61143,0000000,N/A,N/A,Berkeley Unified,UNIFIED, - ," 40,117,847 ", - , - , - , - , - , - , - , - ," 721,795 "," 317,967 "," 2,031,363 ", - , - ," 1,789,697 "," 1,178,183 "," 79,819 ", - , - , - , - , - ," 773,820 "," 47,010,491 "," 1,747,192 "," 41,865,039 ", 1 , - 
01,61150,0000000,N/A,N/A,Castro Valley Unified,UNIFIED, - ," 55,966,240 ", - , - , - , - , - , - ," 34,725,996 "," 32,812 "," 763,099 "," 377,249 "," 2,805,885 ", - , - ," 1,356,083 "," 1,296,265 ", - , - , - , - , - , - ," 394,463 "," 97,718,092 "," 18,712,695 "," 74,678,935 ", 1 , - 
01,61168,0000000,N/A,N/A,Emery Unified,UNIFIED, - ," 1,328,828 ", - , - , - , - , - , - , - , - ," 45,960 "," 37,725 "," 740,411 ", - , - ," 22,121 "," 89,379 ", - , - , - , - , - , - ," (335,390)"," 1,929,034 "," 113,788 "," 1,442,616 ", 1 , - 
01,61176,0000000,N/A,N/A,Fremont Unified,UNIFIED, - ," 159,356,595 ", - , - , - , - , - , - ," 39,454,647 "," 237,001 "," 2,608,981 "," 1,288,036 "," 8,052,141 "," (14,497)", - ," 3,514,799 "," 4,125,614 "," 271,386 ", - , - , - , - , - ," 919,634 "," 219,814,337 "," 22,750,939 "," 182,107,534 ", 1 , - 
01,61176,0130534,0152,L,Circle of Independent Learning,UNIFIED, - , - ," 1,951,118 ", - , - , - , - , - , - , - ," 31,946 ", - , - , - , - , - ," 55,822 ", - , - , - , - , - , - ," 23,775 "," 2,062,661 "," 512,789 "," 2,463,907 ", 1 , - 
01,61192,0000000,N/A,N/A,Hayward Unified,UNIFIED, - ," 128,556,131 ", - , - , - , - , - , - , - ," 223,976 "," 1,331,433 "," 873,062 "," 18,715,475 ", - , - ," 2,853,966 "," 3,001,570 "," 243,214 ", - , - ," (41,408)", - , - ," 128,706 "," 155,886,125 "," 32,269,106 "," 160,825,237 ", 1 , - 
01,61192,0108670,0684,D,Leadership Public Schools - Hayward,UNIFIED, - , - ," 3,858,776 ", - , - , - , - , - , - , - ," 44,259 ", - , - , - , - , - ," 82,019 ", - , - , - , - , - , - ," 9,408 "," 3,994,462 "," 1,262,533 "," 5,121,309 ", 1 , - 
01,61192,0127696,1514,D,Knowledge Enlightens You (KEY) Academy,UNIFIED, - , - ," 5,763,996 ", - , - , - , - , - , - , - ," 49,787 ", - ," 1,067,285 ", - , - , - ," 103,428 ", - , - , - , - , - , - ," 18,616 "," 7,003,112 "," 120,516 "," 5,884,512 ", 1 , - 
01,61192,0127944,1543,D,Hayward Twin Oaks Montessori,UNIFIED, - , - ," 4,583,254 ", - , - , - , - , - , - , - ," 50,174 ", - ," 227,902 ", - , - , - ," 93,243 ", - , - , - , - , - , - ," 14,023 "," 4,968,596 "," 121,452 "," 4,704,706 ", 1 , - 
